Date,Open,High,Low,Close,Volume,Adj Close
31-12-10,181.960007,182.300003,179.509995,180,3451900,180
03-01-11,181.369995,186,181.210007,184.220001,5331400,184.220001
04-01-11,186.149994,187.699997,183.779999,185.009995,5031800,185.009995
05-01-11,184.100006,187.449997,184.070007,187.419998,3418800,187.419998
06-01-11,186.5,187.410004,185.25,185.860001,3179700,185.860001
07-01-11,187.880005,188.449997,183.740005,185.490005,5221700,185.490005
10-01-11,185.039993,185.289993,182.509995,184.679993,3375900,184.679993
11-01-11,185.419998,186,183.210007,184.339996,2814200,184.339996
12-01-11,185.360001,185.380005,183.300003,184.080002,2679100,184.080002
13-01-11,183.600006,186.449997,183.509995,185.529999,3367000,185.529999
14-01-11,185.5,188.940002,184.919998,188.75,3662800,188.75
18-01-11,188.660004,191.600006,188.25,191.25,3896200,191.25
19-01-11,190.899994,191,186.210007,186.869995,3882400,186.869995
20-01-11,185.289993,186.850006,181,181.960007,5709900,181.960007
21-01-11,183,183.25,176.839996,177.419998,6806200,177.419998
24-01-11,177.949997,178.490005,174.149994,176.850006,5600300,176.850006
25-01-11,175.5,176.75,174.279999,176.699997,4651000,176.699997
26-01-11,177.509995,177.889999,174.630005,175.389999,3762200,175.389999
27-01-11,177.479996,185,177.309998,184.449997,14594400,184.449997
28-01-11,171.449997,173.710007,166.899994,171.139999,19908200,171.139999
31-01-11,170.160004,171.440002,167.410004,169.639999,6718100,169.639999
01-02-11,170.520004,173.100006,169.509995,172.110001,5085900,172.110001
02-02-11,171.419998,175.199997,170.869995,173.529999,4547500,173.529999
03-02-11,173.5,174.669998,171.949997,173.710007,3678900,173.710007
04-02-11,174,177.190002,173.75,175.929993,4347800,175.929993
07-02-11,176.149994,177.550003,174.770004,176.429993,5254700,176.429993
08-02-11,176.660004,183.110001,176.589996,183.059998,7794900,183.059998
09-02-11,183.149994,186.470001,182.259995,185.300003,8312700,185.300003
10-02-11,184.389999,187.240005,183.600006,186.210007,5331400,186.210007
11-02-11,185.559998,189.5,185.369995,189.25,4487900,189.25
14-02-11,189.25,191.399994,188.350006,190.419998,4061300,190.419998
15-02-11,188.729996,190.490005,188.25,189.029999,3890900,189.029999
16-02-11,189.770004,190,186.350006,186.619995,4628200,186.619995
17-02-11,185.770004,189.089996,185.309998,187.759995,3425500,187.759995
18-02-11,187.539993,188.5,185.130005,186.5,4178600,186.5
22-02-11,183.679993,184.720001,179.320007,180.419998,5637100,180.419998
23-02-11,180.25,181.149994,174.389999,176.679993,5482000,176.679993
24-02-11,176.860001,179.75,174.559998,177.75,4656500,177.75
25-02-11,178.949997,180.75,177.100006,177.240005,4191400,177.240005
28-02-11,173.910004,175.889999,172.149994,173.289993,6783200,173.289993
01-03-11,173.529999,173.960007,168.669998,169.440002,5847100,169.440002
02-03-11,169.089996,173.300003,168.350006,172.020004,5185700,172.020004
03-03-11,173.710007,174.460007,172.050003,172.789993,4138200,172.789993
04-03-11,172.619995,172.75,169.509995,171.669998,4924300,171.669998
07-03-11,171.919998,172.089996,166.240005,169.080002,5932900,169.080002
08-03-11,169.389999,169.710007,166.720001,166.889999,4219000,166.889999
09-03-11,166.669998,169.75,163.899994,169.050003,7108900,169.050003
10-03-11,167.070007,168.470001,164.820007,166.139999,5998400,166.139999
11-03-11,165.5,169.199997,164.119995,168.070007,4609900,168.070007
14-03-11,166.600006,168.080002,164.570007,166.729996,4022000,166.729996
15-03-11,161.389999,166.880005,160.759995,165.080002,4934500,165.080002
16-03-11,164.699997,168.139999,162.869995,164.699997,5208100,164.699997
17-03-11,165.910004,166.300003,160.779999,160.970001,6471400,160.970001
18-03-11,161.190002,163.539993,160.589996,161.820007,7442700,161.820007
21-03-11,163.369995,165.789993,161.720001,164.520004,4055100,164.520004
22-03-11,164.070007,164.440002,162.25,162.600006,3611400,162.600006
23-03-11,162.300003,166.259995,160.820007,165.320007,4721300,165.320007
24-03-11,168.210007,172,167.360001,171.100006,6283200,171.100006
25-03-11,171.639999,173.490005,170.300003,170.979996,4293800,170.979996
28-03-11,171.800003,172.5,169.25,169.350006,3400800,169.350006
29-03-11,170.729996,174.839996,170.070007,174.619995,4884600,174.619995
30-03-11,177.779999,181.160004,177.660004,179.419998,6859300,179.419998
31-03-11,179.309998,181.570007,178.5,180.130005,4826500,180.130005
01-04-11,181.580002,183.25,178.589996,180.130005,5684100,180.130005
04-04-11,180.889999,183.610001,180.690002,182.940002,4186400,182.940002
05-04-11,182.100006,186.360001,181.800003,185.289993,5569200,185.289993
06-04-11,186.149994,188.270004,181.119995,182.759995,5430700,182.759995
07-04-11,182.779999,185.169998,181.759995,184.910004,4564000,184.910004
08-04-11,185.259995,186.220001,182.779999,184.710007,3726400,184.710007
11-04-11,184.860001,186.490005,181.850006,184.039993,3297100,184.039993
12-04-11,183.059998,184.589996,179.419998,180.479996,5334500,180.479996
13-04-11,180.830002,182.880005,179.800003,182.289993,4216300,182.289993
14-04-11,181.389999,182.080002,179.360001,181.820007,3588200,181.820007
15-04-11,181,181.779999,179.020004,180.009995,4272400,180.009995
18-04-11,178.380005,178.910004,175.369995,178.339996,4616500,178.339996
19-04-11,178.350006,179.470001,176.600006,178.820007,2646000,178.820007
20-04-11,181.619995,185,181.589996,183.869995,4067500,183.869995
21-04-11,184.559998,185.970001,183.050003,185.889999,3348100,185.889999
25-04-11,185.649994,186.350006,183.770004,185.419998,3438100,185.419998
26-04-11,186.270004,186.419998,180.740005,182.300003,11200000,182.300003
27-04-11,183.199997,197.800003,182.75,196.630005,23623000,196.630005
28-04-11,195.960007,196.789993,192.270004,195.070007,7300000,195.070007
29-04-11,194.380005,196.589996,193.779999,195.809998,6640900,195.809998
02-05-11,196.570007,203.419998,196.179993,201.190002,9398100,201.190002
03-05-11,201,202.589996,196.690002,198.449997,6100000,198.449997
04-05-11,198.25,201.860001,195.369995,199.970001,6550000,199.970001
05-05-11,198.660004,201,196.119995,197.110001,4600000,197.110001
06-05-11,199.100006,199.559998,196.559998,197.600006,4013900,197.600006
09-05-11,198.339996,202.360001,196.779999,200.800003,5825400,200.800003
10-05-11,201.940002,205.289993,201.559998,203.940002,5885900,203.940002
11-05-11,203.119995,205.5,202.25,204.380005,4809000,204.380005
12-05-11,204.220001,206.190002,200.619995,206.070007,4800000,206.070007
13-05-11,205.699997,206.389999,202.360001,202.559998,4123700,202.559998
16-05-11,200.539993,200.899994,191.369995,192.509995,9386400,192.509995
17-05-11,191.820007,195.979996,191.759995,194.809998,7073300,194.809998
18-05-11,194.130005,198.279999,193.25,197.089996,4955800,197.089996
19-05-11,198.330002,199.949997,197.550003,198.800003,3701200,198.800003
20-05-11,197.949997,199.800003,197.240005,198.649994,3381000,198.649994
23-05-11,195.559998,197.289993,192.020004,196.220001,4200000,196.220001
24-05-11,197,197,193,193.270004,2972700,193.270004
25-05-11,193.570007,194.350006,191.139999,192.259995,4661300,192.259995
26-05-11,191.240005,196.449997,190.880005,195,4075200,195
27-05-11,194.759995,196.119995,193.5,194.130005,2352600,194.130005
31-05-11,195.940002,198.440002,195.029999,196.690002,3409000,196.690002
01-06-11,196.059998,197.259995,192.050003,192.399994,3445200,192.399994
02-06-11,192.279999,194.440002,190.559998,193.649994,3044900,193.649994
03-06-11,191.229996,193.210007,187.619995,188.320007,4974500,188.320007
06-06-11,188.009995,189.850006,185.179993,185.690002,3716000,185.690002
07-06-11,185.720001,190.630005,185.520004,187.550003,4866500,187.550003
08-06-11,187.449997,189.809998,186.320007,188.050003,3716600,188.050003
09-06-11,189.740005,191.759995,185.710007,189.679993,4187300,189.679993
10-06-11,189.25,190.770004,186.279999,186.529999,3760400,186.529999
13-06-11,186.809998,189.309998,184.860001,186.289993,3868900,186.289993
14-06-11,188.990005,190.720001,187.070007,189.960007,3960300,189.960007
15-06-11,188.039993,192.449997,185.300003,185.979996,6317700,185.979996
16-06-11,185.740005,187,181.589996,183.649994,6032100,183.649994
17-06-11,186.509995,187.389999,184.639999,186.369995,6322200,186.369995
20-06-11,185.960007,188.850006,185.570007,187.720001,2831700,187.720001
21-06-11,188.300003,195,187.119995,194.229996,4182600,194.229996
22-06-11,193.960007,195.199997,191.320007,191.630005,3129700,191.630005
23-06-11,189.5,194.460007,188.300003,194.160004,4609600,194.160004
24-06-11,193.880005,194.919998,191.350006,192.550003,3614500,192.550003
27-06-11,194.5,202.580002,194.029999,201.25,6100700,201.25
28-06-11,201.919998,202.880005,200.600006,202.350006,3825300,202.350006
29-06-11,202.669998,206.25,201.029999,204.179993,4608900,204.179993
30-06-11,200.779999,205.199997,200.5,204.490005,4448100,204.490005
01-07-11,205.550003,210.270004,203.610001,209.490005,4008700,209.490005
05-07-11,208.759995,214.449997,208.729996,213.190002,3585200,213.190002
06-07-11,212.119995,214.399994,211.009995,214.190002,2607600,214.190002
07-07-11,215.089996,217.800003,215.089996,216.740005,3144900,216.740005
08-07-11,214.300003,218.320007,213.25,218.279999,3707900,218.279999
11-07-11,216.740005,217.5,211,212.550003,4033700,212.550003
12-07-11,214.639999,215.649994,211.119995,211.229996,3985700,211.229996
13-07-11,214.699997,216.830002,212.139999,213.5,4229900,213.5
14-07-11,213.580002,215.910004,209.380005,210.380005,3902500,210.380005
15-07-11,213.080002,214.529999,209.289993,212.869995,4072600,212.869995
18-07-11,212.529999,213.389999,208.289993,211.529999,2898100,211.529999
19-07-11,213.770004,218.399994,213.770004,218.059998,4437200,218.059998
20-07-11,220.050003,220.199997,214.410004,215.550003,3372900,215.550003
21-07-11,216.740005,217.089996,211.070007,213.210007,4545300,213.210007
22-07-11,213.860001,217.949997,211.110001,216.520004,3591700,216.520004
25-07-11,215.490005,216.080002,213,213.490005,3342800,213.490005
26-07-11,214.990005,215.600006,210.350006,214.179993,9863600,214.179993
27-07-11,224.389999,227.199997,219.619995,222.520004,12955600,222.520004
28-07-11,223.270004,225.949997,220.229996,223.899994,5354900,223.899994
29-07-11,221.289993,225.75,219.509995,222.520004,5167700,222.520004
01-08-11,225,227.449997,217.660004,221.320007,5789300,221.320007
02-08-11,220.320007,222.429993,211.300003,211.699997,6586700,211.699997
03-08-11,212.970001,214.830002,205.539993,209.960007,8197100,209.960007
04-08-11,206.729996,208,201.449997,201.479996,6579500,201.479996
05-08-11,204.669998,207.320007,194.839996,202.699997,10024000,202.699997
08-08-11,196.399994,200.389999,190.050003,193.699997,10427500,193.699997
09-08-11,196.699997,205.089996,190.460007,205.089996,10491200,205.089996
10-08-11,200.759995,202.399994,193.600006,194.130005,8757600,194.130005
11-08-11,197.009995,200.850006,191.360001,198.360001,7401900,198.360001
12-08-11,200.279999,204.559998,197.210007,202.300003,5620400,202.300003
15-08-11,202.059998,205.279999,198.320007,202.949997,4785900,202.949997
16-08-11,201.139999,201.389999,194.75,197.679993,5205900,197.679993
17-08-11,198.529999,199.600006,193.740005,195.929993,3991100,195.929993
18-08-11,191.210007,191.339996,179.720001,182.520004,8275200,182.520004
19-08-11,180.289993,190,177.550003,178.929993,7244200,178.929993
22-08-11,182.830002,184.199997,177.100006,177.539993,5313700,177.539993
23-08-11,178.919998,194.839996,178.520004,193.550003,7351600,193.550003
24-08-11,193.889999,196.309998,190.169998,193.729996,6248700,193.729996
25-08-11,194.410004,196.990005,191.070007,192.029999,3760800,192.029999
26-08-11,191.240005,199.720001,189.600006,199.270004,5310700,199.270004
29-08-11,202.820007,206.669998,202.550003,206.529999,4511000,206.529999
30-08-11,205.779999,212.490005,204.320007,210.919998,5915700,210.919998
31-08-11,212.270004,216.169998,211.350006,215.229996,7405000,215.229996
01-09-11,215.279999,217.639999,211.619995,212.539993,5275300,212.539993
02-09-11,208.940002,210.690002,207,210,4232000,210
06-09-11,204.770004,216.600006,204.470001,216.179993,6216200,216.179993
07-09-11,218.800003,220.190002,214.220001,219.899994,5295800,219.899994
08-09-11,218.300003,220.639999,216.339996,217.259995,4397900,217.259995
09-09-11,215.050003,216.960007,209.75,211.389999,4574300,211.389999
12-09-11,208.75,216.660004,208.649994,216.559998,5342100,216.559998
13-09-11,217.789993,219.949997,215.009995,219.529999,4835900,219.529999
14-09-11,220.220001,224.990005,216.720001,222.570007,5881700,222.570007
15-09-11,223.990005,227.199997,221.25,226.779999,5608800,226.779999
16-09-11,227.570007,240.440002,226.740005,239.300003,11753000,239.300003
19-09-11,237.110001,244,232.880005,241.690002,8223300,241.690002
20-09-11,240.800003,241.050003,231.029999,233.25,7385500,233.25
21-09-11,234.509995,240.520004,231.809998,231.869995,5881500,231.869995
22-09-11,224.720001,228.789993,219,223.229996,8254600,223.229996
23-09-11,220.509995,224.490005,219.059998,223.610001,6468100,223.610001
26-09-11,227.479996,230.240005,221.399994,229.850006,5794100,229.850006
27-09-11,234.220001,234.75,222.399994,224.210007,7837500,224.210007
28-09-11,226.350006,235.809998,225.600006,229.710007,14436900,229.710007
29-09-11,234.169998,234.300003,216.289993,222.440002,9378500,222.440002
30-09-11,218.190002,223,215.210007,216.229996,6550300,216.229996
03-10-11,217.009995,221.600006,211.389999,211.979996,6624400,211.979996
04-10-11,209.619995,215,200.429993,212.5,8711600,212.5
05-10-11,212.529999,220.169998,208.479996,219.5,6508200,219.5
06-10-11,220.279999,223.619995,217.550003,221.509995,6849300,221.509995
07-10-11,222.479996,227.899994,218.410004,224.740005,6784300,224.740005
10-10-11,226.229996,232.800003,224.100006,231.320007,5143100,231.320007
11-10-11,230.600006,236.75,229,235.479996,5003700,235.479996
12-10-11,236.639999,241.839996,234.330002,236.809998,6510800,236.809998
13-10-11,237,239.679993,235.229996,236.149994,4833500,236.149994
14-10-11,240.869995,246.710007,240.179993,246.710007,5923700,246.710007
17-10-11,244.289993,246.710007,240.669998,242.330002,4779000,242.330002
18-10-11,242.309998,244.610001,236.619995,243.880005,4609700,243.880005
19-10-11,240.669998,243.330002,229.25,231.529999,6715100,231.529999
20-10-11,232.130005,234.740005,229.800003,233.610001,4524900,233.610001
21-10-11,236.910004,237,230.600006,234.779999,4572500,234.779999
24-10-11,236.020004,240.470001,234,237.610001,4975800,237.610001
25-10-11,238.589996,239.009995,225.889999,227.149994,14012600,227.149994
26-10-11,203.690002,207.580002,196.509995,198.399994,24134200,198.399994
27-10-11,204.259995,208.600006,201.100006,206.779999,10774300,206.779999
28-10-11,206.529999,218.399994,205.75,217.320007,9880400,217.320007
31-10-11,215.789993,218.889999,213.039993,213.509995,7343300,213.509995
01-11-11,208.110001,216.210007,207.429993,212.100006,8511800,212.100006
02-11-11,215.550003,216.789993,212.720001,215.619995,6122000,215.619995
03-11-11,216.300003,218.5,213.020004,218.289993,5315000,218.289993
04-11-11,217.649994,218.229996,214.330002,216.479996,4065800,216.479996
07-11-11,216.839996,220.199997,214,217,3860000,217
08-11-11,219.199997,219.350006,215.210007,217.990005,3914500,217.990005
09-11-11,214.949997,215.699997,210.600006,211.220001,4680600,211.220001
10-11-11,213.5,214.059998,208.100006,210.789993,5044600,210.789993
11-11-11,212.520004,217.880005,210.309998,217.389999,5163100,217.389999
14-11-11,215.649994,222.350006,214.25,218.929993,6522200,218.929993
15-11-11,218,220.330002,214.259995,217.830002,5739000,217.830002
16-11-11,216.270004,216.970001,211.229996,211.990005,5509400,211.990005
17-11-11,212.509995,212.899994,202.100006,204.520004,7983100,204.520004
18-11-11,205.330002,205.339996,197.110001,197.139999,8437500,197.139999
21-11-11,193.289993,193.360001,185.050003,189.25,11321200,189.25
22-11-11,186.949997,194.039993,183.580002,192.339996,9915600,192.339996
23-11-11,193.059998,194.600006,187.889999,188.990005,8011300,188.990005
25-11-11,190.410004,190.830002,181.509995,182.399994,4972000,182.399994
28-11-11,191.649994,194.619995,190.539993,194.149994,7207300,194.149994
29-11-11,194.779999,195.5,187.300003,188.389999,6575100,188.389999
30-11-11,194.759995,195.300003,188.75,192.289993,7717000,192.289993
01-12-11,191.850006,198.070007,191.589996,197.130005,7327700,197.130005
02-12-11,197.070007,199.660004,195.179993,196.029999,7526200,196.029999
05-12-11,198.860001,199,193.669998,196.240005,5922100,196.240005
06-12-11,195.979996,198.320007,190.110001,191.990005,5202000,191.990005
07-12-11,191.029999,196.710007,189.119995,195.320007,6427300,195.320007
08-12-11,193.570007,195.889999,190.080002,190.479996,4361100,190.479996
09-12-11,191.210007,193.949997,188.399994,193.029999,5158800,193.029999
12-12-11,190.029999,191.149994,187.630005,189.520004,4343200,189.520004
13-12-11,188.559998,189.679993,178.5,180.509995,9297300,180.509995
14-12-11,179,180.75,170.25,180.210007,11614200,180.210007
15-12-11,182.050003,184.800003,179.529999,181.259995,7259900,181.259995
16-12-11,182.419998,184.410004,180.309998,181.259995,6664100,181.259995
19-12-11,182,183.169998,179,179.330002,4533600,179.330002
20-12-11,182.690002,183.169998,180.539993,182.520004,4600100,182.520004
21-12-11,181.919998,183.5,172.490005,174.350006,8066700,174.350006
22-12-11,175.089996,179.669998,174.210007,179.029999,4694900,179.029999
23-12-11,179.220001,179.679993,175.600006,177.279999,3496500,177.279999
27-12-11,177.729996,178.589996,176.160004,176.270004,2950900,176.270004
28-12-11,176.389999,176.649994,172.279999,173.889999,3659500,173.889999
